GROUP,PACKAGE,CLASS,Mutation Coverage,M_P,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,B_Coverage,B_P,LINE_MISSED,LINE_COVERED,Statement_Coverage,S_P,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Complexity,METHOD_MISSED,METHOD_COVERED
Apache Commons Collections,org.apache.commons.collections4,ArrayUtils,0.53,53,22,38,7,9,0.5625,56.25,3,21,0.875,87.5,3,11,14,0,9
Apache Commons Collections,org.apache.commons.collections4.functors,InstantiateTransformer,0.88,88,32,86,10,14,0.583333333,58.3333333,7,27,0.794117647,79.4117647,5,11,16,0,5
Apache Commons Collections,org.apache.commons.collections4.comparators,TransformingComparator,0.57,57,14,101,9,13,0.590909091,59.0909091,1,99,0.99,99,4,45,49,0,28
Apache Commons Collections,org.apache.commons.collections4.splitmap,TransformedSplitMap,0.67,67,24,94,3,5,0.625,62.5,2,21,0.913043478,91.3043478,1,17,18,1,14
Apache Commons Collections,org.apache.commons.collections4.functors,IfClosure,0.73,73,25,45,3,5,0.625,62.5,2,23,0.92,92,1,18,19,1,17
Apache Commons Collections,org.apache.commons.collections4.iterators,PushbackIterator,0.89,89,12,50,3,5,0.625,62.5,1,28,0.965517241,96.5517241,1,18,19,1,16
Apache Commons Collections,org.apache.commons.collections4.comparators,ComparatorChain,0.54,54,70,219,15,27,0.642857143,64.2857143,12,36,0.75,75,9,14,23,2,12
Apache Commons Collections,org.apache.commons.collections4.collection,UnmodifiableBoundedCollection,0.56,56,29,75,5,9,0.642857143,64.2857143,15,19,0.558823529,55.8823529,3,10,13,3,9
Apache Commons Collections,org.apache.commons.collections4.comparators,NullComparator,0.45,45,33,73,8,16,0.666666667,66.6666667,6,30,0.833333333,83.3333333,5,24,29,5,22
Apache Commons Collections,org.apache.commons.collections4.comparators,FixedOrderComparator,0.64,64,63,320,22,44,0.666666667,66.6666667,13,36,0.734693878,73.4693878,14,26,40,13,11
Apache Commons Collections,org.apache.commons.collections4,SplitMapUtils,0.59,59,16,32,3,7,0.7,70,1,48,0.979591837,97.9591837,2,17,19,0,7
Apache Commons Collections,org.apache.commons.collections4.iterators,IteratorChain,0.6,60,84,154,6,14,0.7,70,8,20,0.714285714,71.4285714,5,11,16,3,10
Apache Commons Collections,org.apache.commons.collections4.map,DefaultedMap,1,100,15,79,3,7,0.7,70,1,23,0.958333333,95.8333333,2,16,18,0,7
Apache Commons Collections,org.apache.commons.collections4,IteratorUtils,0.78,78,252,626,42,100,0.704225352,70.4225352,10,337,0.971181556,97.1181556,20,184,204,1,68
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap,0.07,7,87,347,15,43,0.74137931,74.137931,31,0,0,0,14,0,14,9,0
Apache Commons Collections,org.apache.commons.collections4.trie,AbstractBitwiseTrie,0.03,3,17,113,5,15,0.75,75,5,18,0.782608696,78.2608696,5,13,18,3,13
Apache Commons Collections,org.apache.commons.collections4.functors,DefaultEquator,0.63,63,4,28,2,6,0.75,75,3,8,0.727272727,72.7272727,2,9,11,2,7
Apache Commons Collections,org.apache.commons.collections4.list,LazyList,0.67,67,30,54,2,6,0.75,75,0,15,1,100,2,8,10,0,6
Apache Commons Collections,org.apache.commons.collections4.functors,TransformedPredicate,0.67,67,16,34,1,3,0.75,75,1,7,0.875,87.5,1,4,5,1,3
Apache Commons Collections,org.apache.commons.collections4.comparators,ReverseComparator,0.73,73,8,46,2,6,0.75,75,2,20,0.909090909,90.9090909,2,8,10,1,6
Apache Commons Collections,org.apache.commons.collections4.collection,SynchronizedCollection,0.88,88,50,265,3,9,0.75,75,3,15,0.833333333,83.3333333,3,7,10,3,3
